code,sampling_date,local_path
28261954,2015-06-12,../embeddings/output/store_location_test_script_lucas_toc/28261954_2015-06-12.csv
28281952,2015-05-25,../embeddings/output/store_location_test_script_lucas_toc/28281952_2015-05-25.csv
28282042,2015-08-13,../embeddings/output/store_location_test_script_lucas_toc/28282042_2015-08-13.csv
28282118,2015-07-21,../embeddings/output/store_location_test_script_lucas_toc/28282118_2015-07-21.csv
28302110,2015-06-22,../embeddings/output/store_location_test_script_lucas_toc/28302110_2015-06-22.csv
28321934,2015-06-13,../embeddings/output/store_location_test_script_lucas_toc/28321934_2015-06-13.csv
28322046,2015-08-06,../embeddings/output/store_location_test_script_lucas_toc/28322046_2015-08-06.csv
28322176,2015-05-27,../embeddings/output/store_location_test_script_lucas_toc/28322176_2015-05-27.csv
28361748,2015-06-08,../embeddings/output/store_location_test_script_lucas_toc/28361748_2015-06-08.csv
28361986,2015-05-17,../embeddings/output/store_location_test_script_lucas_toc/28361986_2015-05-17.csv
28362030,2015-08-06,../embeddings/output/store_location_test_script_lucas_toc/28362030_2015-08-06.csv
28362220,2015-08-01,../embeddings/output/store_location_test_script_lucas_toc/28362220_2015-08-01.csv
28382362,2015-07-29,../embeddings/output/store_location_test_script_lucas_toc/28382362_2015-07-29.csv
28401924,2015-06-13,../embeddings/output/store_location_test_script_lucas_toc/28401924_2015-06-13.csv
28402054,2015-08-14,../embeddings/output/store_location_test_script_lucas_toc/28402054_2015-08-14.csv
28422060,2015-08-15,../embeddings/output/store_location_test_script_lucas_toc/28422060_2015-08-15.csv
28422424,2015-04-30,../embeddings/output/store_location_test_script_lucas_toc/28422424_2015-04-30.csv
28442182,2015-08-07,../embeddings/output/store_location_test_script_lucas_toc/28442182_2015-08-07.csv
28462070,2015-07-02,../embeddings/output/store_location_test_script_lucas_toc/28462070_2015-07-02.csv
28462348,2015-07-24,../embeddings/output/store_location_test_script_lucas_toc/28462348_2015-07-24.csv
28482290,2015-04-24,../embeddings/output/store_location_test_script_lucas_toc/28482290_2015-04-24.csv
28482368,2015-07-25,../embeddings/output/store_location_test_script_lucas_toc/28482368_2015-07-25.csv
28501736,2015-07-06,../embeddings/output/store_location_test_script_lucas_toc/28501736_2015-07-06.csv
28521972,2015-07-28,../embeddings/output/store_location_test_script_lucas_toc/28521972_2015-07-28.csv
28542144,2015-05-28,../embeddings/output/store_location_test_script_lucas_toc/28542144_2015-05-28.csv
28542166,2015-06-08,../embeddings/output/store_location_test_script_lucas_toc/28542166_2015-06-08.csv
28542220,2015-07-31,../embeddings/output/store_location_test_script_lucas_toc/28542220_2015-07-31.csv
28542382,2015-07-25,../embeddings/output/store_location_test_script_lucas_toc/28542382_2015-07-25.csv
